,date,county,state,temp_max(C),precip_sum(mm),wind_max(km/h),min_humidity(%),max_humidity(%),mean_humidity(%)
26,2020-01-27,baltimore,maryland,3.6,0.0,18.1,53,86,70.0
27,2020-01-28,baltimore,maryland,3.8,0.0,20.4,50,79,64.0
28,2020-01-29,baltimore,maryland,2.8,0.0,18.7,44,78,63.0
29,2020-01-30,baltimore,maryland,-0.4,0.0,13.2,52,83,68.0
30,2020-01-31,baltimore,maryland,2.2,0.6,7.6,61,92,79.0
31,2020-02-01,baltimore,maryland,3.5,3.5,7.6,73,98,89.0
32,2020-02-02,baltimore,maryland,4.5,0.7,20.4,60,95,79.0
33,2020-02-03,baltimore,maryland,9.9,0.0,17.7,51,84,68.0
34,2020-02-04,baltimore,maryland,11.8,2.2,18.1,63,96,80.0
35,2020-02-05,baltimore,maryland,6.2,5.4,21.8,56,96,78.0
36,2020-02-06,baltimore,maryland,5.3,46.7,13.6,92,99,98.0
37,2020-02-07,baltimore,maryland,7.6,17.1,36.8,43,100,78.0
38,2020-02-08,baltimore,maryland,2.3,0.0,25.4,40,81,57.0
39,2020-02-09,baltimore,maryland,3.1,0.0,21.0,46,86,68.0
40,2020-02-10,baltimore,maryland,6.7,9.0,27.5,64,97,82.0
41,2020-02-11,baltimore,maryland,9.7,12.6,13.8,71,100,95.0
42,2020-02-12,baltimore,maryland,5.6,3.8,21.6,48,92,63.0
43,2020-02-13,baltimore,maryland,8.0,8.8,27.2,63,99,90.0
44,2020-02-14,baltimore,maryland,1.3,0.0,26.5,31,68,47.0
45,2020-02-15,baltimore,maryland,-2.3,0.0,20.7,35,71,46.0
46,2020-02-16,baltimore,maryland,2.7,0.0,20.4,55,92,68.0
47,2020-02-17,baltimore,maryland,4.7,0.0,13.7,45,92,71.0
48,2020-02-18,baltimore,maryland,7.3,0.5,16.3,65,97,84.0
49,2020-02-19,baltimore,maryland,6.6,1.3,21.7,37,93,60.0
50,2020-02-20,baltimore,maryland,1.4,0.0,21.1,40,73,57.0
51,2020-02-21,baltimore,maryland,-0.7,0.0,24.1,30,63,42.0
52,2020-02-22,baltimore,maryland,2.1,0.0,15.6,30,70,46.0
53,2020-02-23,baltimore,maryland,4.2,0.0,11.4,35,82,56.0
54,2020-02-24,baltimore,maryland,6.4,0.1,13.8,47,86,71.0
55,2020-02-25,baltimore,maryland,7.4,6.8,15.1,84,100,96.0
56,2020-02-26,baltimore,maryland,8.5,3.5,19.0,87,100,96.0
57,2020-02-27,baltimore,maryland,4.2,7.8,37.2,30,99,55.0
58,2020-02-28,baltimore,maryland,2.7,0.1,24.9,38,58,47.0
59,2020-02-29,baltimore,maryland,0.5,0.0,30.6,33,51,43.0
60,2020-03-01,baltimore,maryland,2.2,0.0,19.1,36,67,49.0
61,2020-03-02,baltimore,maryland,7.7,1.2,25.4,53,85,65.0
62,2020-03-03,baltimore,maryland,10.4,2.3,28.9,67,96,88.0
63,2020-03-04,baltimore,maryland,10.2,0.0,25.2,37,68,53.0
64,2020-03-05,baltimore,maryland,7.3,0.0,21.6,43,79,60.0
65,2020-03-06,baltimore,maryland,4.8,4.2,18.3,68,92,84.0
66,2020-03-07,baltimore,maryland,4.7,2.0,31.1,30,95,57.0
67,2020-03-08,baltimore,maryland,6.0,0.0,18.7,31,77,54.0
68,2020-03-09,baltimore,maryland,10.9,0.0,21.0,40,77,58.0
69,2020-03-10,baltimore,maryland,14.0,1.2,26.3,55,92,72.0
70,2020-03-11,baltimore,maryland,9.1,0.2,20.9,54,88,72.0
71,2020-03-12,baltimore,maryland,9.9,0.0,14.8,57,93,77.0
72,2020-03-13,baltimore,maryland,14.5,7.6,24.7,34,98,69.0
73,2020-03-14,baltimore,maryland,9.4,2.0,20.1,32,81,45.0
74,2020-03-15,baltimore,maryland,7.1,6.9,14.7,46,92,75.0
75,2020-03-16,baltimore,maryland,6.5,0.0,21.4,46,80,62.0
76,2020-03-17,baltimore,maryland,9.0,2.1,16.6,64,92,80.0
77,2020-03-18,baltimore,maryland,8.7,0.8,18.3,48,83,66.0
78,2020-03-19,baltimore,maryland,13.2,14.4,17.4,67,97,88.0
79,2020-03-20,baltimore,maryland,18.8,0.1,30.0,65,97,80.0
80,2020-03-21,baltimore,maryland,10.5,0.9,21.5,40,72,50.0
81,2020-03-22,baltimore,maryland,6.4,0.0,24.1,42,70,52.0
82,2020-03-23,baltimore,maryland,5.7,13.1,25.3,71,97,91.0
83,2020-03-24,baltimore,maryland,8.3,0.0,14.6,56,94,78.0
84,2020-03-25,baltimore,maryland,7.2,9.1,21.5,80,97,89.0
85,2020-03-26,baltimore,maryland,9.0,0.0,19.5,61,98,78.0
86,2020-03-27,baltimore,maryland,13.0,1.4,13.8,57,95,77.0
87,2020-03-28,baltimore,maryland,11.5,15.1,16.9,80,96,90.0
88,2020-03-29,baltimore,maryland,12.5,0.0,15.9,77,97,91.0
89,2020-03-30,baltimore,maryland,13.9,0.0,16.1,38,100,65.0
90,2020-03-31,baltimore,maryland,8.9,2.6,21.1,62,90,75.0
91,2020-04-01,baltimore,maryland,7.9,1.2,21.7,51,93,73.0
92,2020-04-02,baltimore,maryland,9.7,0.0,32.4,35,56,44.0
93,2020-04-03,baltimore,maryland,10.9,0.0,30.0,42,68,52.0
94,2020-04-04,baltimore,maryland,10.5,0.0,18.8,64,87,75.0
95,2020-04-05,baltimore,maryland,12.8,0.0,13.2,55,92,77.0
96,2020-04-06,baltimore,maryland,13.8,0.3,14.8,30,92,62.0
97,2020-04-07,baltimore,maryland,13.5,3.4,13.0,55,98,80.0
98,2020-04-08,baltimore,maryland,17.4,1.1,17.1,46,97,75.0
99,2020-04-09,baltimore,maryland,13.3,0.7,40.3,34,97,66.0
100,2020-04-10,baltimore,maryland,7.5,0.1,42.3,35,51,41.0
101,2020-04-11,baltimore,maryland,8.4,0.0,24.2,32,71,49.0
102,2020-04-12,baltimore,maryland,12.2,1.4,25.6,58,93,74.0
103,2020-04-13,baltimore,maryland,16.5,72.8,41.7,52,98,82.0
104,2020-04-14,baltimore,maryland,10.4,0.7,28.3,42,78,54.0
105,2020-04-15,baltimore,maryland,7.3,7.1,22.8,27,93,60.0
106,2020-04-16,baltimore,maryland,6.8,0.0,27.7,29,71,49.0
107,2020-04-17,baltimore,maryland,7.5,0.1,23.5,45,81,65.0
108,2020-04-18,baltimore,maryland,9.2,2.4,31.2,39,93,72.0
109,2020-04-19,baltimore,maryland,9.9,0.0,21.9,44,83,63.0
110,2020-04-20,baltimore,maryland,11.3,0.1,15.8,44,91,69.0
111,2020-04-21,baltimore,maryland,11.5,3.7,36.4,37,90,65.0
112,2020-04-22,baltimore,maryland,7.4,0.0,29.1,32,62,43.0
113,2020-04-23,baltimore,maryland,9.9,14.3,13.7,52,96,73.0
114,2020-04-24,baltimore,maryland,10.3,20.7,18.7,83,99,93.0
115,2020-04-25,baltimore,maryland,12.3,2.3,16.8,60,94,80.0
116,2020-04-26,baltimore,maryland,10.5,8.7,17.3,93,97,95.0
117,2020-04-27,baltimore,maryland,9.4,2.3,27.8,49,97,73.0
118,2020-04-28,baltimore,maryland,9.9,0.0,12.9,49,88,72.0
119,2020-04-29,baltimore,maryland,14.6,0.4,25.0,65,88,77.0
120,2020-04-30,baltimore,maryland,15.7,42.1,40.0,79,100,90.0
121,2020-05-01,baltimore,maryland,14.5,0.0,26.3,52,100,74.0
