time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-06-14,16.7,0.00,23.7
2020-06-15,17.6,0.00,17.7
2020-06-16,18.2,0.00,17.4
2020-06-17,18.2,0.00,18.1
2020-06-18,18.9,0.00,12.6
2020-06-19,20.2,0.00,16.3
2020-06-20,21.6,0.30,17.0
2020-06-21,22.1,0.00,15.5
2020-06-22,23.7,0.50,18.2
2020-06-23,23.5,0.10,24.0
2020-06-24,25.1,0.00,18.9
2020-06-25,23.4,0.00,17.3
2020-06-26,24.0,0.00,14.8
2020-06-27,23.6,8.10,24.2
2020-06-28,23.7,4.20,13.6
2020-06-29,24.1,0.70,15.6
2020-06-30,21.8,8.40,10.7
2020-07-01,22.1,8.40,17.8
2020-07-02,24.9,0.00,11.4
2020-07-03,25.9,8.40,19.1
2020-07-04,23.2,4.60,18.0
2020-07-05,24.9,0.00,16.2
2020-07-06,25.3,0.00,21.6
2020-07-07,23.4,6.80,20.6
2020-07-08,24.9,1.20,17.8
2020-07-09,25.1,0.00,17.2
2020-07-10,23.8,20.60,39.6
2020-07-11,25.0,4.20,38.6
2020-07-12,25.5,0.00,23.2
2020-07-13,25.4,1.50,16.2
2020-07-14,24.7,0.00,17.6
2020-07-15,22.8,0.30,16.6
2020-07-16,21.3,0.00,18.1
2020-07-17,23.2,2.60,21.3
2020-07-18,25.2,0.00,14.6
2020-07-19,26.5,0.00,24.2
2020-07-20,28.7,0.00,19.9
2020-07-21,27.4,0.00,18.1
2020-07-22,27.2,0.30,18.1
2020-07-23,26.7,6.30,21.9
2020-07-24,24.6,9.50,12.9
2020-07-25,25.8,0.00,18.5
2020-07-26,27.5,0.00,19.1
2020-07-27,28.6,0.00,20.1
2020-07-28,28.9,1.60,22.8
2020-07-29,27.4,0.10,17.7
2020-07-30,28.0,0.00,17.7
2020-07-31,24.5,11.50,12.6
2020-08-01,25.6,0.00,19.8
2020-08-02,26.4,2.40,28.3
2020-08-03,27.3,0.00,26.8
2020-08-04,25.0,8.20,68.4
2020-08-05,25.4,0.00,20.4
2020-08-06,23.5,0.00,12.1
2020-08-07,23.0,3.00,18.2
2020-08-08,23.1,10.80,13.3
2020-08-09,24.1,0.20,19.9
2020-08-10,25.7,0.40,19.2
2020-08-11,25.4,0.20,23.3
2020-08-12,25.8,4.10,16.9
2020-08-13,24.7,9.70,10.1
2020-08-14,25.3,0.40,19.9
2020-08-15,24.1,0.20,22.4
2020-08-16,21.0,15.80,29.7
2020-08-17,21.5,2.40,22.0
2020-08-18,23.2,3.70,18.7
2020-08-19,21.8,3.60,12.7
2020-08-20,21.5,0.00,15.9
2020-08-21,23.2,0.00,21.4
2020-08-22,24.7,0.40,20.0
2020-08-23,24.5,0.00,15.9
2020-08-24,25.9,2.60,15.3
2020-08-25,26.6,0.80,20.7
2020-08-26,23.3,0.00,22.6
2020-08-27,25.9,1.00,23.4
2020-08-28,25.0,0.20,23.7
2020-08-29,23.8,22.10,21.3
2020-08-30,22.8,0.00,26.7
2020-08-31,21.1,0.00,16.1
2020-09-01,22.1,2.30,20.0
2020-09-02,23.4,7.80,21.5
2020-09-03,25.0,3.90,19.4
2020-09-04,24.7,0.20,21.0
2020-09-05,21.9,0.00,20.3
2020-09-06,22.4,0.00,19.6
2020-09-07,22.4,0.00,19.3
2020-09-08,22.5,0.00,13.4
2020-09-09,22.9,0.20,13.0
2020-09-10,23.7,19.70,18.9
2020-09-11,22.4,3.30,20.7
2020-09-12,18.6,0.00,21.9
2020-09-13,21.0,0.00,20.0
2020-09-14,21.2,0.00,26.4
2020-09-15,16.2,0.00,25.9
2020-09-16,18.7,0.00,21.4
2020-09-17,20.4,0.30,18.4
2020-09-18,18.8,2.70,30.3
2020-09-19,14.2,0.00,31.0
2020-09-20,14.1,0.00,23.9
2020-09-21,14.6,0.00,23.1
2020-09-22,16.4,0.00,22.2
2020-09-23,19.5,0.00,20.4
2020-09-24,19.6,0.00,15.5
2020-09-25,19.6,0.00,14.1
2020-09-26,19.6,0.90,15.5
2020-09-27,21.0,0.20,16.8
2020-09-28,21.1,1.00,23.1
2020-09-29,20.8,5.60,28.8
2020-09-30,19.4,16.60,44.4
2020-10-01,18.7,0.00,23.9
2020-10-02,16.2,0.30,17.3
2020-10-03,15.4,0.00,18.0
2020-10-04,15.7,0.00,16.1
2020-10-05,15.8,0.80,18.6
2020-10-06,17.2,0.00,22.3
2020-10-07,18.6,0.00,30.2
2020-10-08,15.2,0.00,29.6
2020-10-09,15.5,0.00,24.8
2020-10-10,18.6,0.00,27.2
2020-10-11,17.5,0.10,26.0
2020-10-12,13.6,18.60,35.9
2020-10-13,15.6,4.80,36.0
