time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-06-15,23.4,0.70,16.3
2020-06-16,22.5,0.00,12.4
2020-06-17,22.5,1.30,9.8
2020-06-18,24.8,1.40,11.4
2020-06-19,25.3,2.20,14.6
2020-06-20,26.5,0.40,9.7
2020-06-21,27.8,0.00,8.1
2020-06-22,27.7,0.20,10.8
2020-06-23,27.5,2.70,19.9
2020-06-24,27.5,6.80,13.0
2020-06-25,27.4,4.90,9.7
2020-06-26,28.4,0.00,8.3
2020-06-27,27.9,4.30,11.8
2020-06-28,28.5,1.40,15.0
2020-06-29,28.9,1.50,13.8
2020-06-30,28.6,9.20,12.4
2020-07-01,28.2,2.70,18.2
2020-07-02,27.5,3.30,14.8
2020-07-03,27.1,14.00,10.0
2020-07-04,26.0,15.00,7.6
2020-07-05,25.2,19.90,15.8
2020-07-06,25.7,16.10,13.4
2020-07-07,26.0,8.00,15.3
2020-07-08,26.4,10.40,14.8
2020-07-09,27.5,1.10,11.8
2020-07-10,28.6,0.30,10.5
2020-07-11,29.4,0.20,14.1
2020-07-12,29.6,0.00,12.3
2020-07-13,28.3,0.00,14.4
2020-07-14,28.3,5.40,10.5
2020-07-15,28.4,0.40,11.5
2020-07-16,28.0,0.00,15.5
2020-07-17,27.8,0.70,15.9
2020-07-18,28.1,0.80,16.5
2020-07-19,28.4,0.20,14.1
2020-07-20,28.2,0.00,16.7
2020-07-21,28.2,0.90,18.4
2020-07-22,27.4,5.30,17.9
2020-07-23,27.2,6.50,14.4
2020-07-24,27.6,1.90,16.5
2020-07-25,27.3,1.60,18.0
2020-07-26,27.0,3.60,12.3
2020-07-27,27.4,11.70,10.3
2020-07-28,27.3,7.10,12.9
2020-07-29,26.8,5.20,13.2
2020-07-30,27.9,0.00,12.9
2020-07-31,29.1,0.00,10.8
2020-08-01,28.6,3.40,11.3
2020-08-02,27.8,1.00,14.9
2020-08-03,28.5,1.60,26.3
2020-08-04,28.2,6.60,12.3
