time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-06-15,20.8,2.10,20.5
2020-06-16,19.3,0.00,16.4
2020-06-17,19.5,0.00,12.6
2020-06-18,22.0,0.00,7.9
2020-06-19,24.2,0.30,8.2
2020-06-20,25.3,0.00,8.5
2020-06-21,26.6,0.00,19.7
2020-06-22,25.3,6.70,15.0
2020-06-23,24.7,7.80,19.9
2020-06-24,23.8,14.70,15.5
2020-06-25,23.2,17.50,15.0
2020-06-26,24.3,0.50,15.6
2020-06-27,23.4,9.90,16.3
2020-06-28,26.1,1.40,16.3
2020-06-29,26.9,0.80,14.5
2020-06-30,26.4,1.50,13.0
2020-07-01,24.7,2.00,17.2
2020-07-02,25.9,2.60,13.6
2020-07-03,26.8,0.00,8.0
2020-07-04,27.2,2.40,6.3
2020-07-05,27.5,0.00,13.4
2020-07-06,24.8,21.70,15.6
2020-07-07,23.7,25.00,15.1
2020-07-08,25.2,5.20,9.4
2020-07-09,26.2,6.30,8.8
2020-07-10,26.7,0.40,11.8
2020-07-11,27.0,0.00,18.9
2020-07-12,26.3,0.70,11.7
2020-07-13,26.5,0.70,13.0
2020-07-14,27.2,0.00,8.7
2020-07-15,27.5,1.20,8.7
2020-07-16,26.9,1.60,7.3
2020-07-17,27.8,0.10,8.6
2020-07-18,28.6,1.40,8.7
2020-07-19,28.4,0.00,6.2
2020-07-20,29.0,0.20,6.3
2020-07-21,28.1,2.00,9.4
2020-07-22,27.7,0.60,8.4
2020-07-23,28.3,0.00,13.0
2020-07-24,26.8,0.30,14.1
2020-07-25,26.9,3.50,12.7
2020-07-26,26.2,0.40,6.0
2020-07-27,27.9,1.20,10.9
2020-07-28,26.8,5.90,9.8
2020-07-29,25.4,1.60,12.7
2020-07-30,25.9,2.40,16.1
2020-07-31,28.3,0.50,18.8
2020-08-01,28.1,0.00,20.9
2020-08-02,28.0,0.00,8.9
2020-08-03,26.7,9.60,12.3
2020-08-04,25.9,0.00,8.3
2020-08-05,27.0,2.60,7.4
2020-08-06,27.4,0.80,9.6
2020-08-07,27.3,0.70,10.8
2020-08-08,27.7,0.30,9.2
2020-08-09,28.6,1.30,9.0
2020-08-10,27.6,3.60,11.3
2020-08-11,27.9,0.20,10.2
2020-08-12,28.7,1.30,9.8
2020-08-13,27.5,9.30,7.9
2020-08-14,25.4,18.80,8.3
2020-08-15,25.1,10.30,11.8
2020-08-16,26.2,0.00,15.1
2020-08-17,26.3,0.00,9.4
2020-08-18,25.2,0.00,10.7
2020-08-19,24.8,4.40,13.7
2020-08-20,23.5,14.30,13.5
2020-08-21,22.6,7.10,9.8
2020-08-22,23.6,0.60,11.9
2020-08-23,24.4,0.80,11.5
2020-08-24,24.0,4.00,13.7
2020-08-25,22.8,21.40,12.9
2020-08-26,24.5,9.10,8.0
2020-08-27,26.2,0.00,10.9
2020-08-28,26.3,1.40,16.1
2020-08-29,25.9,4.50,23.9
2020-08-30,26.6,4.40,12.0
2020-08-31,25.5,6.60,10.1
2020-09-01,26.0,5.10,6.9
