time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-06-14,18.9,0.00,14.7
2020-06-15,19.1,0.00,16.2
2020-06-16,19.5,0.00,18.4
2020-06-17,19.2,0.50,18.0
2020-06-18,21.0,5.90,12.2
2020-06-19,22.7,0.60,13.0
2020-06-20,23.2,9.30,11.6
2020-06-21,24.0,1.10,9.2
2020-06-22,25.9,0.10,13.3
2020-06-23,26.4,0.20,15.5
2020-06-24,25.6,6.30,19.9
2020-06-25,24.1,1.00,11.4
2020-06-26,24.7,0.00,18.5
2020-06-27,25.5,7.00,24.3
2020-06-28,26.9,0.20,12.9
2020-06-29,26.7,0.00,15.4
2020-06-30,24.8,0.10,10.2
2020-07-01,23.9,5.70,7.6
2020-07-02,26.1,0.00,12.6
2020-07-03,29.1,1.80,11.2
2020-07-04,26.2,0.40,11.1
2020-07-05,27.9,0.00,12.0
2020-07-06,27.1,29.10,12.2
2020-07-07,24.8,1.30,11.7
2020-07-08,26.7,0.00,10.4
2020-07-09,26.7,0.00,10.9
2020-07-10,23.6,51.70,26.3
2020-07-11,26.5,0.40,21.0
2020-07-12,26.4,0.00,16.0
2020-07-13,25.5,0.20,13.4
2020-07-14,24.9,0.00,13.0
2020-07-15,23.9,1.00,13.3
2020-07-16,23.1,0.00,17.6
2020-07-17,25.6,3.50,12.3
2020-07-18,28.0,0.00,8.7
2020-07-19,28.6,0.00,15.5
2020-07-20,30.2,0.00,16.9
2020-07-21,29.1,0.00,8.6
2020-07-22,28.5,3.00,16.9
2020-07-23,26.9,10.80,12.2
2020-07-24,24.6,10.70,8.6
2020-07-25,25.8,0.10,10.8
2020-07-26,28.4,0.00,14.1
2020-07-27,29.2,0.00,18.9
2020-07-28,28.8,4.10,17.1
2020-07-29,28.5,0.00,11.5
2020-07-30,28.6,0.00,15.9
2020-07-31,24.3,18.60,8.0
2020-08-01,26.3,0.00,14.8
2020-08-02,27.8,1.90,21.4
2020-08-03,27.6,1.80,19.5
2020-08-04,24.8,40.30,35.3
2020-08-05,26.1,0.00,14.4
2020-08-06,24.6,5.40,11.2
2020-08-07,23.7,5.10,13.7
2020-08-08,24.3,0.20,9.1
2020-08-09,25.6,0.30,10.8
2020-08-10,27.2,0.50,10.2
2020-08-11,27.0,0.70,14.4
2020-08-12,27.2,3.30,9.9
2020-08-13,24.6,7.80,6.8
2020-08-14,24.9,6.50,18.7
2020-08-15,23.7,0.20,14.8
2020-08-16,20.8,17.00,17.3
2020-08-17,22.3,2.90,12.1
2020-08-18,23.7,3.10,9.9
2020-08-19,23.1,0.90,7.2
2020-08-20,22.0,0.00,10.9
2020-08-21,23.4,0.00,12.8
2020-08-22,25.5,0.40,15.0
2020-08-23,24.4,1.10,9.7
2020-08-24,26.0,0.10,13.5
2020-08-25,27.7,0.00,20.6
2020-08-26,24.5,0.00,17.0
2020-08-27,27.7,0.40,25.9
2020-08-28,26.9,1.20,14.1
2020-08-29,24.6,35.10,19.0
2020-08-30,22.8,0.00,20.3
2020-08-31,21.0,1.30,10.7
2020-09-01,22.6,0.20,12.9
2020-09-02,24.9,3.40,14.6
2020-09-03,26.0,7.20,14.5
2020-09-04,25.2,0.70,11.9
2020-09-05,22.2,0.00,16.0
2020-09-06,22.3,0.00,12.6
2020-09-07,22.2,0.00,12.8
2020-09-08,22.9,0.00,8.1
2020-09-09,23.1,0.00,10.8
2020-09-10,23.7,48.20,9.4
2020-09-11,23.3,18.40,13.7
2020-09-12,19.9,0.00,16.9
2020-09-13,21.3,0.00,11.3
2020-09-14,21.8,0.00,17.5
2020-09-15,16.3,0.00,16.2
2020-09-16,17.4,0.00,11.9
2020-09-17,19.9,0.90,10.6
2020-09-18,19.1,0.20,21.5
2020-09-19,14.0,0.00,18.8
2020-09-20,12.8,0.00,15.8
2020-09-21,13.0,0.00,16.4
2020-09-22,14.5,0.00,15.7
2020-09-23,18.6,0.00,17.4
2020-09-24,19.0,0.00,9.9
2020-09-25,19.1,0.30,10.8
2020-09-26,19.7,3.10,15.0
2020-09-27,21.8,0.20,8.4
2020-09-28,22.3,1.40,17.4
2020-09-29,21.3,10.00,21.1
2020-09-30,18.3,19.30,23.7
2020-10-01,18.7,0.10,14.7
2020-10-02,15.9,5.90,15.3
2020-10-03,14.0,0.00,10.0
2020-10-04,14.3,0.00,9.8
2020-10-05,15.3,0.20,9.0
2020-10-06,15.9,0.00,14.5
2020-10-07,18.8,0.00,26.9
2020-10-08,15.8,0.00,20.9
2020-10-09,14.9,0.00,14.8
2020-10-10,18.1,0.00,17.6
2020-10-11,18.1,4.90,17.6
2020-10-12,14.5,20.00,25.0
2020-10-13,16.5,0.10,21.6
2020-10-14,15.3,0.00,13.4
2020-10-15,17.7,0.00,24.5
2020-10-16,14.4,27.50,17.9
2020-10-17,11.4,1.50,15.3
2020-10-18,12.4,0.00,14.5
2020-10-19,14.9,0.00,11.3
2020-10-20,18.0,0.00,8.7
2020-10-21,18.5,0.00,14.8
2020-10-22,19.3,0.00,7.4
2020-10-23,18.1,0.00,8.8
2020-10-24,17.9,0.60,17.8
2020-10-25,9.4,5.80,17.1
2020-10-26,15.7,0.20,13.7
2020-10-27,15.0,0.00,11.4
2020-10-28,16.1,0.60,18.0
2020-10-29,12.7,31.60,25.9
2020-10-30,7.2,15.20,23.8
2020-10-31,5.3,0.00,11.6
2020-11-01,9.7,11.70,25.0
2020-11-02,5.7,0.00,35.0
2020-11-03,8.6,0.00,23.5
2020-11-04,10.7,0.00,13.3
2020-11-05,12.9,0.00,14.2
2020-11-06,14.0,0.00,11.2
2020-11-07,14.2,0.00,9.2
2020-11-08,14.4,0.00,8.7
2020-11-09,15.0,0.00,9.0
2020-11-10,16.2,0.00,14.3
2020-11-11,18.9,33.00,18.0
2020-11-12,14.6,30.70,19.3
2020-11-13,10.7,0.40,11.3
2020-11-14,8.7,0.00,13.0
2020-11-15,10.6,7.30,35.7
2020-11-16,9.9,0.00,23.9
2020-11-17,6.3,0.00,26.0
2020-11-18,2.2,0.00,21.3
2020-11-19,2.6,0.00,18.3
2020-11-20,9.2,0.00,18.0
2020-11-21,11.3,0.00,14.0
2020-11-22,11.0,0.00,14.5
2020-11-23,10.7,16.30,26.3
2020-11-24,5.9,0.00,14.9
2020-11-25,8.7,0.00,17.1
2020-11-26,14.4,8.60,22.3
2020-11-27,11.2,0.00,8.1
2020-11-28,9.8,0.00,17.9
2020-11-29,6.3,0.00,10.3
2020-11-30,13.0,28.80,36.9
2020-12-01,7.8,0.10,24.6
2020-12-02,4.1,0.00,27.4
2020-12-03,4.6,0.20,15.3
2020-12-04,6.8,3.70,15.6
2020-12-05,6.8,23.40,28.0
2020-12-06,3.2,0.00,23.0
2020-12-07,0.7,0.00,13.0
2020-12-08,1.1,0.00,20.2
2020-12-09,1.0,0.00,15.9
2020-12-10,4.1,0.00,14.8
2020-12-11,5.2,0.00,15.8
2020-12-12,10.3,0.10,15.7
2020-12-13,11.7,0.90,16.9
2020-12-14,4.6,16.60,19.1
2020-12-15,1.5,0.00,15.6
2020-12-16,0.3,20.40,33.8
2020-12-17,-0.1,8.90,35.3
2020-12-18,-3.6,0.00,12.1
2020-12-19,-4.6,0.00,8.8
2020-12-20,0.5,1.10,15.6
2020-12-21,1.4,0.00,10.6
2020-12-22,3.9,1.40,22.6
2020-12-23,2.6,0.00,14.0
2020-12-24,11.6,12.20,35.7
2020-12-25,8.3,24.30,40.7
2020-12-26,-2.3,0.00,23.4
2020-12-27,-1.3,0.00,11.8
2020-12-28,4.2,0.00,16.8
2020-12-29,1.6,0.00,22.9
2020-12-30,1.1,0.00,22.4
2020-12-31,6.6,6.10,26.4
