time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-06-14,16.6,1.00,10.7
2020-06-15,16.4,1.20,14.4
2020-06-16,16.8,0.60,18.2
2020-06-17,15.2,30.20,16.8
2020-06-18,18.4,12.00,10.8
2020-06-19,19.1,0.70,12.3
2020-06-20,20.1,0.90,8.4
2020-06-21,21.5,2.40,6.6
2020-06-22,22.1,3.70,11.7
2020-06-23,22.0,1.10,14.0
2020-06-24,21.2,0.00,13.4
2020-06-25,20.6,0.70,6.1
2020-06-26,21.5,0.00,13.7
2020-06-27,23.6,0.70,14.6
2020-06-28,23.0,1.20,12.2
2020-06-29,24.0,0.00,12.2
2020-06-30,23.9,0.00,7.6
2020-07-01,23.4,0.00,8.7
2020-07-02,23.8,0.00,13.0
2020-07-03,24.6,0.00,9.4
2020-07-04,25.9,0.00,7.3
2020-07-05,25.9,0.00,9.6
2020-07-06,25.8,3.10,9.5
2020-07-07,25.3,0.90,10.1
2020-07-08,25.4,0.20,7.4
2020-07-09,26.1,0.00,9.5
2020-07-10,26.3,0.00,9.4
2020-07-11,25.1,0.00,17.4
2020-07-12,23.0,0.60,12.5
2020-07-13,23.0,0.00,8.4
2020-07-14,24.5,0.00,8.6
2020-07-15,24.9,0.00,10.5
2020-07-16,24.8,0.60,17.7
2020-07-17,26.8,0.00,10.5
2020-07-18,26.9,0.00,7.8
2020-07-19,27.8,0.00,13.0
2020-07-20,27.6,1.70,10.5
2020-07-21,26.4,2.20,8.4
2020-07-22,26.0,3.90,11.7
2020-07-23,24.7,9.60,11.0
2020-07-24,23.7,3.80,7.1
2020-07-25,24.6,0.40,7.5
2020-07-26,25.9,0.00,9.7
2020-07-27,26.4,0.00,10.8
2020-07-28,26.2,0.00,11.8
2020-07-29,25.9,0.00,6.6
2020-07-30,25.0,6.70,12.5
2020-07-31,21.5,31.70,9.0
2020-08-01,23.7,1.50,11.4
2020-08-02,25.2,0.00,18.4
2020-08-03,22.1,12.00,7.5
2020-08-04,22.8,20.10,16.7
2020-08-05,22.8,0.00,6.8
2020-08-06,21.7,6.60,10.8
2020-08-07,21.8,5.40,5.9
2020-08-08,23.0,0.50,6.5
2020-08-09,24.3,0.00,6.3
2020-08-10,24.5,0.00,7.8
2020-08-11,25.3,0.00,7.1
2020-08-12,24.6,8.20,6.4
2020-08-13,22.4,16.00,10.7
2020-08-14,22.5,2.20,8.7
2020-08-15,19.8,20.90,8.3
2020-08-16,19.6,4.50,11.0
2020-08-17,21.7,0.40,10.2
2020-08-18,21.5,0.00,9.6
2020-08-19,20.9,1.90,7.7
2020-08-20,20.5,0.00,8.0
2020-08-21,21.1,5.20,8.3
2020-08-22,22.2,3.10,5.4
2020-08-23,23.1,0.20,9.2
2020-08-24,23.7,0.00,10.6
2020-08-25,24.4,0.20,15.5
2020-08-26,23.7,0.00,10.0
2020-08-27,24.8,0.70,15.5
2020-08-28,24.5,8.60,10.1
2020-08-29,23.6,7.50,16.6
2020-08-30,21.8,0.00,8.9
2020-08-31,18.9,30.10,9.2
2020-09-01,19.6,0.10,8.3
2020-09-02,23.5,0.70,14.0
2020-09-03,23.9,0.40,17.6
2020-09-04,22.8,1.40,12.7
2020-09-05,19.5,0.00,8.5
2020-09-06,19.6,0.00,9.1
2020-09-07,20.8,0.00,10.2
2020-09-08,21.3,0.00,8.4
2020-09-09,22.1,0.00,10.4
2020-09-10,23.0,1.00,9.7
2020-09-11,22.3,0.10,11.8
2020-09-12,19.5,0.40,9.3
2020-09-13,21.3,0.00,12.1
2020-09-14,20.5,1.20,15.5
2020-09-15,15.7,0.00,10.1
2020-09-16,15.1,0.00,12.2
2020-09-17,16.2,8.40,8.0
2020-09-18,16.3,0.20,16.7
2020-09-19,12.2,0.00,12.7
2020-09-20,11.4,0.00,10.3
2020-09-21,11.4,0.00,8.4
2020-09-22,12.6,0.00,9.0
2020-09-23,15.5,0.00,6.7
2020-09-24,16.4,0.00,7.3
2020-09-25,15.7,2.20,9.3
2020-09-26,17.9,0.00,6.2
2020-09-27,18.5,0.00,9.9
2020-09-28,19.4,0.00,14.3
2020-09-29,15.9,29.20,14.8
2020-09-30,14.1,2.90,14.8
2020-10-01,15.0,0.00,11.4
2020-10-02,12.4,0.20,13.2
2020-10-03,11.0,0.00,7.0
2020-10-04,12.5,0.00,8.1
2020-10-05,12.4,0.10,12.9
2020-10-06,13.6,0.00,9.2
2020-10-07,17.0,0.00,17.9
2020-10-08,15.3,0.00,13.3
2020-10-09,13.4,0.00,11.4
2020-10-10,16.3,0.60,11.4
2020-10-11,16.3,16.80,8.7
2020-10-12,15.0,8.70,14.2
2020-10-13,14.6,0.00,15.6
2020-10-14,13.3,0.00,11.7
2020-10-15,16.3,0.00,17.1
2020-10-16,12.3,0.10,11.2
2020-10-17,9.2,0.00,7.8
2020-10-18,9.5,0.00,12.6
2020-10-19,13.1,0.00,10.9
2020-10-20,16.9,0.00,9.7
2020-10-21,18.1,0.00,10.3
2020-10-22,18.3,0.00,9.5
2020-10-23,18.1,0.00,11.3
2020-10-24,16.2,2.80,12.4
2020-10-25,7.6,19.50,11.2
2020-10-26,13.2,0.00,9.4
2020-10-27,14.8,0.50,9.5
2020-10-28,16.8,2.00,11.8
2020-10-29,14.4,56.40,13.4
2020-10-30,8.9,0.80,18.6
2020-10-31,5.8,0.00,11.3
2020-11-01,8.2,0.60,22.7
2020-11-02,2.6,0.00,23.2
2020-11-03,7.5,0.00,15.2
2020-11-04,9.2,0.00,10.9
2020-11-05,11.7,0.00,9.3
2020-11-06,13.1,0.00,8.7
2020-11-07,12.8,0.00,9.4
2020-11-08,13.6,0.00,8.7
2020-11-09,14.0,0.00,10.4
2020-11-10,16.1,0.00,14.7
2020-11-11,17.3,49.60,16.4
2020-11-12,12.7,37.10,14.1
2020-11-13,11.2,0.00,10.8
2020-11-14,8.0,0.00,7.6
2020-11-15,10.3,1.90,26.4
2020-11-16,7.7,0.00,16.8
2020-11-17,4.0,0.00,24.8
2020-11-18,1.4,0.00,15.4
2020-11-19,3.5,0.00,13.6
2020-11-20,9.3,0.00,13.0
2020-11-21,10.5,0.00,9.4
2020-11-22,11.1,0.00,14.2
2020-11-23,6.6,3.50,18.7
2020-11-24,3.6,0.00,10.6
2020-11-25,6.8,2.30,15.1
2020-11-26,12.6,0.10,15.6
2020-11-27,8.7,0.00,6.3
