,date,county,state,fips,cases,deaths,new_cases,new_deaths,case_delta_7,death_delta_7,case_delta_14,death_delta_14
259,2020-11-15,New York City,New York,,286785,24124.0,1452.0,6.0,10841.0,50.0,17906.0,111.0
260,2020-11-16,New York City,New York,,288078,24136.0,1293.0,12.0,10973.0,51.0,18559.0,119.0
261,2020-11-17,New York City,New York,,290018,24146.0,1940.0,10.0,11706.0,59.0,19701.0,125.0
262,2020-11-18,New York City,New York,,291753,24149.0,1735.0,3.0,11709.0,53.0,20641.0,115.0
263,2020-11-19,New York City,New York,,293592,24167.0,1839.0,18.0,11885.0,68.0,21408.0,120.0
264,2020-11-20,New York City,New York,,295622,24188.0,2030.0,21.0,12089.0,80.0,22236.0,134.0
265,2020-11-21,New York City,New York,,297570,24202.0,1948.0,14.0,12237.0,84.0,23019.0,142.0
266,2020-11-22,New York City,New York,,299495,24206.0,1925.0,4.0,12710.0,82.0,23551.0,132.0
267,2020-11-23,New York City,New York,,301282,24218.0,1787.0,12.0,13204.0,82.0,24177.0,133.0
268,2020-11-24,New York City,New York,,303007,24220.0,1725.0,2.0,12989.0,74.0,24695.0,133.0
269,2020-11-25,New York City,New York,,304925,24230.0,1918.0,10.0,13172.0,81.0,24881.0,134.0
270,2020-11-26,New York City,New York,,307261,24241.0,2336.0,11.0,13669.0,74.0,25554.0,142.0
271,2020-11-27,New York City,New York,,309822,24255.0,2561.0,14.0,14200.0,67.0,26289.0,147.0
272,2020-11-28,New York City,New York,,311920,24260.0,2098.0,5.0,14350.0,58.0,26587.0,142.0
273,2020-11-29,New York City,New York,,314223,24268.0,2303.0,8.0,14728.0,62.0,27438.0,144.0
274,2020-11-30,New York City,New York,,316724,24274.0,2501.0,6.0,15442.0,56.0,28646.0,138.0
275,2020-12-01,New York City,New York,,319301,24287.0,2577.0,13.0,16294.0,67.0,29283.0,141.0
276,2020-12-02,New York City,New York,,322501,24297.0,3200.0,10.0,17576.0,67.0,30748.0,148.0
277,2020-12-03,New York City,New York,,325806,24305.0,3305.0,8.0,18545.0,64.0,32214.0,138.0
278,2020-12-04,New York City,New York,,329406,24323.0,3600.0,18.0,19584.0,68.0,33784.0,135.0
279,2020-12-05,New York City,New York,,332633,24346.0,3227.0,23.0,20713.0,86.0,35063.0,144.0
